date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:22:44	109231/109231	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Apr%202021%2011:17:10%20GMT	https://peacefulqode.com/themes/architeck/index.html	C:/My%20Web%20Sites/rms-10/peacefulqode.com/themes/architeck/index.html	(from )
16:22:47	22042/22042	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jun%202022%2010:52:47%20GMT	https://peacefulqode.com/robots.txt		(from )
16:22:47	9650/9650	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2017%20Apr%202021%2011:18:02%20GMT	https://peacefulqode.com/themes/architeck/images/favicon.ico	C:/My%20Web%20Sites/rms-10/peacefulqode.com/themes/architeck/images/favicon.ico	(from https://peacefulqode.com/themes/architeck/index.html)
16:22:47	192361/192361	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2011:18:23%20GMT	https://peacefulqode.com/themes/architeck/css/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/rms-10/peacefulqode.com/themes/architeck/css/bootstrap/bootstrap.min.css	(from https://peacefulqode.com/themes/architeck/index.html)
16:22:47	56685/56685	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2011:21:30%20GMT	https://peacefulqode.com/themes/architeck/rev-slider/css/rs6.css	C:/My%20Web%20Sites/rms-10/peacefulqode.com/themes/architeck/rev-slider/css/rs6.css	(from https://peacefulqode.com/themes/architeck/index.html)
16:22:48	121422/121422	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2011:17:30%20GMT	https://peacefulqode.com/themes/architeck/css/style.css	C:/My%20Web%20Sites/rms-10/peacefulqode.com/themes/architeck/css/style.css	(from https://peacefulqode.com/themes/architeck/index.html)
16:22:48	6048/6048	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2011:17:28%20GMT	https://peacefulqode.com/themes/architeck/css/responsive.css	C:/My%20Web%20Sites/rms-10/peacefulqode.com/themes/architeck/css/responsive.css	(from https://peacefulqode.com/themes/architeck/index.html)
16:22:48	145894/145894	---M--	200	added ('OK')	image/gif	date:Sat,%2017%20Apr%202021%2011:18:04%20GMT	https://peacefulqode.com/themes/architeck/images/loder.gif	C:/My%20Web%20Sites/rms-10/peacefulqode.com/themes/architeck/images/loder.gif	(from https://peacefulqode.com/themes/architeck/index.html)
16:22:48	6256/6256	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Apr%202021%2011:18:05%20GMT	https://peacefulqode.com/themes/architeck/images/logo.png	C:/My%20Web%20Sites/rms-10/peacefulqode.com/themes/architeck/images/logo.png	(from https://peacefulqode.com/themes/architeck/index.html)
16:22:48	6160/6160	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Apr%202021%2011:18:03%20GMT	https://peacefulqode.com/themes/architeck/images/logo-white.png	C:/My%20Web%20Sites/rms-10/peacefulqode.com/themes/architeck/images/logo-white.png	(from https://peacefulqode.com/themes/architeck/index.html)
